f,mag,pha
1.00000000000000e+003,-1.99676169636646e+001,-1.60441491445673e+000
1.00230523807790e+003,-1.99678253210159e+001,-1.60811578343107e+000
1.00461579027840e+003,-1.99680346455877e+001,-1.61182519980292e+000
1.00693166885180e+003,-1.99682449418958e+001,-1.61554318338701e+000
1.00925288607668e+003,-1.99684562144768e+001,-1.61926975404457e+000
1.01157945425990e+003,-1.99686684678892e+001,-1.62300493168334e+000
1.01391138573668e+003,-1.99688817067126e+001,-1.62674873625774e+000
1.01624869287070e+003,-1.99690959355485e+001,-1.63050118776899e+000
1.01859138805412e+003,-1.99693111590201e+001,-1.63426230626521e+000
1.02093948370768e+003,-1.99695273817724e+001,-1.63803211184150e+000
1.02329299228075e+003,-1.99697446084723e+001,-1.64181062464012e+000
1.02565192625141e+003,-1.99699628438088e+001,-1.64559786485055e+000
1.02801629812647e+003,-1.99701820924930e+001,-1.64939385270964e+000
1.03038612044162e+003,-1.99704023592584e+001,-1.65319860850168e+000
1.03276140576140e+003,-1.99706236488608e+001,-1.65701215255859e+000
1.03514216667934e+003,-1.99708459660783e+001,-1.66083450525994e+000
1.03752841581801e+003,-1.99710693157119e+001,-1.66466568703314e+000
1.03992016582906e+003,-1.99712937025852e+001,-1.66850571835353e+000
1.04231742939330e+003,-1.99715191315444e+001,-1.67235461974450e+000
1.04472021922080e+003,-1.99717456074588e+001,-1.67621241177758e+000
1.04712854805090e+003,-1.99719731352207e+001,-1.68007911507263e+000
1.04954242865232e+003,-1.99722017197457e+001,-1.68395475029785e+000
1.05196187382322e+003,-1.99724313659723e+001,-1.68783933816999e+000
1.05438689639126e+003,-1.99726620788626e+001,-1.69173289945444e+000
1.05681750921366e+003,-1.99728938634022e+001,-1.69563545496531e+000
1.05925372517729e+003,-1.99731267246002e+001,-1.69954702556562e+000
1.06169555719872e+003,-1.99733606674894e+001,-1.70346763216734e+000
1.06414301822431e+003,-1.99735956971265e+001,-1.70739729573157e+000
1.06659612123026e+003,-1.99738318185920e+001,-1.71133603726863e+000
1.06905487922266e+003,-1.99740690369906e+001,-1.71528387783821e+000
1.07151930523761e+003,-1.99743073574512e+001,-1.71924083854941e+000
1.07398941234124e+003,-1.99745467851267e+001,-1.72320694056100e+000
1.07646521362983e+003,-1.99747873251948e+001,-1.72718220508137e+000
1.07894672222983e+003,-1.99750289828573e+001,-1.73116665336881e+000
1.08143395129794e+003,-1.99752717633411e+001,-1.73516030673154e+000
1.08392691402120e+003,-1.99755156718974e+001,-1.73916318652784e+000
1.08642562361706e+003,-1.99757607138027e+001,-1.74317531416619e+000
1.08893009333343e+003,-1.99760068943582e+001,-1.74719671110538e+000
1.09144033644875e+003,-1.99762542188904e+001,-1.75122739885466e+000
1.09395636627209e+003,-1.99765026927509e+001,-1.75526739897383e+000
1.09647819614318e+003,-1.99767523213167e+001,-1.75931673307337e+000
1.09900583943252e+003,-1.99770031099905e+001,-1.76337542281458e+000
1.10153930954141e+003,-1.99772550642004e+001,-1.76744348990970e+000
1.10407861990207e+003,-1.99775081894002e+001,-1.77152095612202e+000
1.10662378397766e+003,-1.99777624910697e+001,-1.77560784326601e+000
1.10917481526240e+003,-1.99780179747147e+001,-1.77970417320742e+000
1.11173172728159e+003,-1.99782746458671e+001,-1.78380996786350e+000
1.11429453359173e+003,-1.99785325100849e+001,-1.78792524920300e+000
1.11686324778056e+003,-1.99787915729526e+001,-1.79205003924638e+000
1.11943788346715e+003,-1.99790518400813e+001,-1.79618436006591e+000
1.12201845430196e+003,-1.99793133171085e+001,-1.80032823378580e+000
1.12460497396692e+003,-1.99795760096987e+001,-1.80448168258230e+000
1.12719745617551e+003,-1.99798399235431e+001,-1.80864472868390e+000
1.12979591467279e+003,-1.99801050643599e+001,-1.81281739437134e+000
1.13240036323555e+003,-1.99803714378947e+001,-1.81699970197790e+000
1.13501081567231e+003,-1.99806390499202e+001,-1.82119167388935e+000
1.13762728582343e+003,-1.99809079062365e+001,-1.82539333254420e+000
1.14024978756117e+003,-1.99811780126713e+001,-1.82960470043382e+000
1.14287833478977e+003,-1.99814493750801e+001,-1.83382580010251e+000
1.14551294144553e+003,-1.99817219993460e+001,-1.83805665414766e+000
1.14815362149688e+003,-1.99819958913802e+001,-1.84229728521991e+000
1.15080038894443e+003,-1.99822710571220e+001,-1.84654771602323e+000
1.15345325782109e+003,-1.99825475025390e+001,-1.85080796931509e+000
1.15611224219210e+003,-1.99828252336269e+001,-1.85507806790658e+000
1.15877735615512e+003,-1.99831042564101e+001,-1.85935803466253e+000
1.16144861384034e+003,-1.99833845769418e+001,-1.86364789250164e+000
1.16412602941049e+003,-1.99836662013036e+001,-1.86794766439663e+000
1.16680961706096e+003,-1.99839491356065e+001,-1.87225737337438e+000
1.16949939101987e+003,-1.99842333859901e+001,-1.87657704251603e+000
1.17219536554813e+003,-1.99845189586235e+001,-1.88090669495715e+000
1.17489755493953e+003,-1.99848058597052e+001,-1.88524635388783e+000
1.17760597352080e+003,-1.99850940954630e+001,-1.88959604255282e+000
1.18032063565173e+003,-1.99853836721545e+001,-1.89395578425179e+000
1.18304155572516e+003,-1.99856745960670e+001,-1.89832560233921e+000
1.18576874816716e+003,-1.99859668735177e+001,-1.90270552022475e+000
1.18850222743701e+003,-1.99862605108541e+001,-1.90709556137324e+000
1.19124200802737e+003,-1.99865555144537e+001,-1.91149574930490e+000
1.19398810446427e+003,-1.99868518907245e+001,-1.91590610759541e+000
1.19674053130724e+003,-1.99871496461049e+001,-1.92032665987610e+000
1.19949930314937e+003,-1.99874487870642e+001,-1.92475742983406e+000
1.20226443461741e+003,-1.99877493201023e+001,-1.92919844121226e+000
1.20503594037179e+003,-1.99880512517502e+001,-1.93364971780976e+000
1.20781383510678e+003,-1.99883545885700e+001,-1.93811128348176e+000
1.21059813355048e+003,-1.99886593371552e+001,-1.94258316213979e+000
1.21338885046497e+003,-1.99889655041305e+001,-1.94706537775185e+000
1.21618600064636e+003,-1.99892730961525e+001,-1.95155795434251e+000
1.21898959892486e+003,-1.99895821199092e+001,-1.95606091599309e+000
1.22179966016487e+003,-1.99898925821208e+001,-1.96057428684178e+000
1.22461619926504e+003,-1.99902044895394e+001,-1.96509809108381e+000
1.22743923115840e+003,-1.99905178489494e+001,-1.96963235297155e+000
1.23026877081238e+003,-1.99908326671676e+001,-1.97417709681465e+000
1.23310483322890e+003,-1.99911489510431e+001,-1.97873234698023e+000
1.23594743344450e+003,-1.99914667074581e+001,-1.98329812789297e+000
1.23879658653036e+003,-1.99917859433273e+001,-1.98787446403532e+000
1.24165230759241e+003,-1.99921066655987e+001,-1.99246137994753e+000
1.24451461177138e+003,-1.99924288812532e+001,-1.99705890022791e+000
1.24738351424294e+003,-1.99927525973053e+001,-2.00166704953294e+000
1.25025903021771e+003,-1.99930778208030e+001,-2.00628585257733e+000
1.25314117494141e+003,-1.99934045588277e+001,-2.01091533413429e+000
1.25602996369487e+003,-1.99937328184949e+001,-2.01555551903561e+000
1.25892541179416e+003,-1.99940626069542e+001,-2.02020643217184e+000
1.26182753459066e+003,-1.99943939313890e+001,-2.02486809849230e+000
1.26473634747115e+003,-1.99947267990175e+001,-2.02954054300550e+000
1.26765186585784e+003,-1.99950612170920e+001,-2.03422379077898e+000
1.27057410520854e+003,-1.99953971928998e+001,-2.03891786693968e+000
1.27350308101666e+003,-1.99957347337629e+001,-2.04362279667398e+000
1.27643880881134e+003,-1.99960738470385e+001,-2.04833860522788e+000
1.27938130415752e+003,-1.99964145401187e+001,-2.05306531790714e+000
1.28233058265601e+003,-1.99967568204313e+001,-2.05780296007742e+000
1.28528665994361e+003,-1.99971006954395e+001,-2.06255155716447e+000
1.28824955169313e+003,-1.99974461726422e+001,-2.06731113465421e+000
1.29121927361353e+003,-1.99977932595744e+001,-2.07208171809297e+000
1.29419584144998e+003,-1.99981419638069e+001,-2.07686333308754e+000
1.29717927098395e+003,-1.99984922929470e+001,-2.08165600530538e+000
1.30016957803328e+003,-1.99988442546383e+001,-2.08645976047481e+000
1.30316677845229e+003,-1.99991978565612e+001,-2.09127462438506e+000
1.30617088813183e+003,-1.99995531064327e+001,-2.09610062288647e+000
1.30918192299940e+003,-1.99999100120070e+001,-2.10093778189072e+000
1.31219989901920e+003,-2.00002685810753e+001,-2.10578612737080e+000
1.31522483219223e+003,-2.00006288214662e+001,-2.11064568536138e+000
1.31825673855640e+003,-2.00009907410459e+001,-2.11551648195878e+000
1.32129563418657e+003,-2.00013543477184e+001,-2.12039854332125e+000
1.32434153519466e+003,-2.00017196494253e+001,-2.12529189566906e+000
1.32739445772973e+003,-2.00020866541468e+001,-2.13019656528465e+000
1.33045441797808e+003,-2.00024553699009e+001,-2.13511257851284e+000
1.33352143216332e+003,-2.00028258047444e+001,-2.14003996176095e+000
1.33659551654643e+003,-2.00031979667728e+001,-2.14497874149893e+000
1.33967668742593e+003,-2.00035718641202e+001,-2.14992894425958e+000
1.34276496113786e+003,-2.00039475049601e+001,-2.15489059663865e+000
1.34586035405594e+003,-2.00043248975050e+001,-2.15986372529501e+000
1.34896288259165e+003,-2.00047040500069e+001,-2.16484835695085e+000
1.35207256319427e+003,-2.00050849707577e+001,-2.16984451839180e+000
1.35518941235103e+003,-2.00054676680887e+001,-2.17485223646708e+000
1.35831344658715e+003,-2.00058521503718e+001,-2.17987153808968e+000
1.36144468246594e+003,-2.00062384260187e+001,-2.18490245023654e+000
1.36458313658892e+003,-2.00066265034816e+001,-2.18994499994864e+000
1.36772882559584e+003,-2.00070163912537e+001,-2.19499921433125e+000
1.37088176616484e+003,-2.00074080978687e+001,-2.20006512055403e+000
1.37404197501251e+003,-2.00078016319015e+001,-2.20514274585121e+000
1.37720946889394e+003,-2.00081970019682e+001,-2.21023211752175e+000
1.38038426460288e+003,-2.00085942167265e+001,-2.21533326292953e+000
1.38356637897177e+003,-2.00089932848757e+001,-2.22044620950344e+000
1.38675582887188e+003,-2.00093942151569e+001,-2.22557098473763e+000
1.38995263121334e+003,-2.00097970163534e+001,-2.23070761619164e+000
1.39315680294529e+003,-2.00102016972909e+001,-2.23585613149054e+000
1.39636836105593e+003,-2.00106082668374e+001,-2.24101655832510e+000
1.39958732257261e+003,-2.00110167339039e+001,-2.24618892445203e+000
1.40281370456195e+003,-2.00114271074440e+001,-2.25137325769403e+000
