f,mag,pha
1.00000000000000e+003,8.87337543363122e+001,-4.22688615519298e+001
1.00230523807790e+003,8.87243863740551e+001,-4.23324904742173e+001
1.00461579027840e+003,8.87149955968184e+001,-4.23961233913848e+001
1.00693166885180e+003,8.87055819990442e+001,-4.24597599460399e+001
1.00925288607668e+003,8.86961455754182e+001,-4.25233997805435e+001
1.01157945425990e+003,8.86866863208696e+001,-4.25870425370194e+001
1.01391138573668e+003,8.86772042305718e+001,-4.26506878573631e+001
1.01624869287070e+003,8.86676992999421e+001,-4.27143353832510e+001
1.01859138805412e+003,8.86581715246422e+001,-4.27779847561496e+001
1.02093948370768e+003,8.86486209005786e+001,-4.28416356173245e+001
1.02329299228075e+003,8.86390474239024e+001,-4.29052876078495e+001
1.02565192625141e+003,8.86294510910098e+001,-4.29689403686163e+001
1.02801629812647e+003,8.86198318985423e+001,-4.30325935403428e+001
1.03038612044162e+003,8.86101898433866e+001,-4.30962467635832e+001
1.03276140576140e+003,8.86005249226749e+001,-4.31598996787364e+001
1.03514216667934e+003,8.85908371337853e+001,-4.32235519260557e+001
1.03752841581801e+003,8.85811264743416e+001,-4.32872031456580e+001
1.03992016582906e+003,8.85713929422137e+001,-4.33508529775327e+001
1.04231742939330e+003,8.85616365355173e+001,-4.34145010615513e+001
1.04472021922080e+003,8.85518572526147e+001,-4.34781470374765e+001
1.04712854805090e+003,8.85420550921142e+001,-4.35417905449711e+001
1.04954242865232e+003,8.85322300528708e+001,-4.36054312236080e+001
1.05196187382322e+003,8.85223821339858e+001,-4.36690687128786e+001
1.05438689639126e+003,8.85125113348070e+001,-4.37327026522028e+001
1.05681750921366e+003,8.85026176549291e+001,-4.37963326809379e+001
1.05925372517729e+003,8.84927010941933e+001,-4.38599584383876e+001
1.06169555719872e+003,8.84827616526876e+001,-4.39235795638118e+001
1.06414301822431e+003,8.84727993307467e+001,-4.39871956964358e+001
1.06659612123026e+003,8.84628141289522e+001,-4.40508064754589e+001
1.06905487922266e+003,8.84528060481323e+001,-4.41144115400647e+001
1.07151930523761e+003,8.84427750893623e+001,-4.41780105294296e+001
1.07398941234124e+003,8.84327212539640e+001,-4.42416030827322e+001
1.07646521362983e+003,8.84226445435061e+001,-4.43051888391628e+001
1.07894672222983e+003,8.84125449598041e+001,-4.43687674379327e+001
1.08143395129794e+003,8.84024225049201e+001,-4.44323385182831e+001
1.08392691402120e+003,8.83922771811628e+001,-4.44959017194946e+001
1.08642562361706e+003,8.83821089910877e+001,-4.45594566808966e+001
1.08893009333343e+003,8.83719179374966e+001,-4.46230030418760e+001
1.09144033644875e+003,8.83617040234380e+001,-4.46865404418874e+001
1.09395636627209e+003,8.83514672522064e+001,-4.47500685204612e+001
1.09647819614318e+003,8.83412076273428e+001,-4.48135869172139e+001
1.09900583943252e+003,8.83309251526343e+001,-4.48770952718566e+001
1.10153930954141e+003,8.83206198321141e+001,-4.49405932242044e+001
1.10407861990207e+003,8.83102916700609e+001,-4.50040804141859e+001
1.10662378397766e+003,8.82999406709996e+001,-4.50675564818521e+001
1.10917481526240e+003,8.82895668397005e+001,-4.51310210673858e+001
1.11173172728159e+003,8.82791701811792e+001,-4.51944738111104e+001
1.11429453359173e+003,8.82687507006966e+001,-4.52579143534998e+001
1.11686324778056e+003,8.82583084037590e+001,-4.53213423351867e+001
1.11943788346715e+003,8.82478432961170e+001,-4.53847573969726e+001
1.12201845430196e+003,8.82373553837664e+001,-4.54481591798363e+001
1.12460497396692e+003,8.82268446729471e+001,-4.55115473249433e+001
1.12719745617551e+003,8.82163111701433e+001,-4.55749214736550e+001
1.12979591467279e+003,8.82057548820833e+001,-4.56382812675377e+001
1.13240036323555e+003,8.81951758157391e+001,-4.57016263483716e+001
1.13501081567231e+003,8.81845739783262e+001,-4.57649563581601e+001
1.13762728582343e+003,8.81739493773034e+001,-4.58282709391386e+001
1.14024978756117e+003,8.81633020203722e+001,-4.58915697337840e+001
1.14287833478977e+003,8.81526319154771e+001,-4.59548523848230e+001
1.14551294144553e+003,8.81419390708048e+001,-4.60181185352420e+001
1.14815362149688e+003,8.81312234947841e+001,-4.60813678282953e+001
1.15080038894443e+003,8.81204851960856e+001,-4.61445999075145e+001
1.15345325782109e+003,8.81097241836213e+001,-4.62078144167175e+001
1.15611224219210e+003,8.80989404665444e+001,-4.62710110000173e+001
1.15877735615512e+003,8.80881340542486e+001,-4.63341893018307e+001
1.16144861384034e+003,8.80773049563684e+001,-4.63973489668879e+001
1.16412602941049e+003,8.80664531827780e+001,-4.64604896402404e+001
1.16680961706096e+003,8.80555787435915e+001,-4.65236109672709e+001
1.16949939101987e+003,8.80446816491621e+001,-4.65867125937012e+001
1.17219536554813e+003,8.80337619100821e+001,-4.66497941656016e+001
1.17489755493953e+003,8.80228195371822e+001,-4.67128553293998e+001
1.17760597352080e+003,8.80118545415311e+001,-4.67758957318888e+001
1.18032063565173e+003,8.80008669344353e+001,-4.68389150202369e+001
1.18304155572516e+003,8.79898567274384e+001,-4.69019128419952e+001
1.18576874816716e+003,8.79788239323210e+001,-4.69648888451073e+001
1.18850222743701e+003,8.79677685610999e+001,-4.70278426779172e+001
1.19124200802737e+003,8.79566906260277e+001,-4.70907739891784e+001
1.19398810446427e+003,8.79455901395927e+001,-4.71536824280625e+001
1.19674053130724e+003,8.79344671145179e+001,-4.72165676441673e+001
1.19949930314937e+003,8.79233215637608e+001,-4.72794292875262e+001
1.20226443461741e+003,8.79121535005130e+001,-4.73422670086160e+001
1.20503594037179e+003,8.79009629381993e+001,-4.74050804583656e+001
1.20781383510678e+003,8.78897498904778e+001,-4.74678692881647e+001
1.21059813355048e+003,8.78785143712387e+001,-4.75306331498720e+001
1.21338885046497e+003,8.78672563946041e+001,-4.75933716958237e+001
1.21618600064636e+003,8.78559759749278e+001,-4.76560845788419e+001
1.21898959892486e+003,8.78446731267940e+001,-4.77187714522429e+001
1.22179966016487e+003,8.78333478650174e+001,-4.77814319698456e+001
1.22461619926504e+003,8.78220002046421e+001,-4.78440657859797e+001
1.22743923115840e+003,8.78106301609417e+001,-4.79066725554939e+001
1.23026877081238e+003,8.77992377494179e+001,-4.79692519337644e+001
1.23310483322890e+003,8.77878229858006e+001,-4.80318035767028e+001
1.23594743344450e+003,8.77763858860468e+001,-4.80943271407644e+001
1.23879658653036e+003,8.77649264663405e+001,-4.81568222829561e+001
1.24165230759241e+003,8.77534447430915e+001,-4.82192886608449e+001
1.24451461177138e+003,8.77419407329351e+001,-4.82817259325656e+001
1.24738351424294e+003,8.77304144527317e+001,-4.83441337568288e+001
1.25025903021771e+003,8.77188659195654e+001,-4.84065117929292e+001
1.25314117494141e+003,8.77072951507444e+001,-4.84688597007531e+001
1.25602996369487e+003,8.76957021637992e+001,-4.85311771407868e+001
1.25892541179416e+003,8.76840869764829e+001,-4.85934637741240e+001
1.26182753459066e+003,8.76724496067700e+001,-4.86557192624738e+001
1.26473634747115e+003,8.76607900728556e+001,-4.87179432681688e+001
1.26765186585784e+003,8.76491083931554e+001,-4.87801354541721e+001
