f,mag,pha
1.00000000000000e+003,-2.52194363391812e+001,9.51855265238418e+001
1.00230523807790e+003,-2.51991148894789e+001,9.52052875777513e+001
1.00461579027840e+003,-2.51787918055191e+001,9.52250749488725e+001
1.00693166885180e+003,-2.51584670806721e+001,9.52448887330761e+001
1.00925288607668e+003,-2.51381407082756e+001,9.52647290263140e+001
1.01157945425990e+003,-2.51178126816343e+001,9.52845959246190e+001
1.01391138573668e+003,-2.50974829940202e+001,9.53044895241054e+001
1.01624869287070e+003,-2.50771516386717e+001,9.53244099209687e+001
1.01859138805412e+003,-2.50568186087944e+001,9.53443572114860e+001
1.02093948370768e+003,-2.50364838975601e+001,9.53643314920160e+001
1.02329299228075e+003,-2.50161474981074e+001,9.53843328589990e+001
1.02565192625141e+003,-2.49958094035411e+001,9.54043614089570e+001
1.02801629812647e+003,-2.49754696069324e+001,9.54244172384940e+001
1.03038612044162e+003,-2.49551281013183e+001,9.54445004442959e+001
1.03276140576140e+003,-2.49347848797023e+001,9.54646111231306e+001
1.03514216667934e+003,-2.49144399350531e+001,9.54847493718479e+001
1.03752841581801e+003,-2.48940932603057e+001,9.55049152873802e+001
1.03992016582906e+003,-2.48737448483603e+001,9.55251089667417e+001
1.04231742939330e+003,-2.48533946920829e+001,9.55453305070294e+001
1.04472021922080e+003,-2.48330427843045e+001,9.55655800054223e+001
1.04712854805090e+003,-2.48126891178215e+001,9.55858575591820e+001
1.04954242865232e+003,-2.47923336853954e+001,9.56061632656530e+001
1.05196187382322e+003,-2.47719764797525e+001,9.56264972222618e+001
1.05438689639126e+003,-2.47516174935840e+001,9.56468595265180e+001
1.05681750921366e+003,-2.47312567195457e+001,9.56672502760140e+001
1.05925372517729e+003,-2.47108941502580e+001,9.56876695684246e+001
1.06169555719872e+003,-2.46905297783057e+001,9.57081175015079e+001
1.06414301822431e+003,-2.46701635962379e+001,9.57285941731046e+001
1.06659612123026e+003,-2.46497955965677e+001,9.57490996811386e+001
1.06905487922266e+003,-2.46294257717723e+001,9.57696341236166e+001
1.07151930523761e+003,-2.46090541142928e+001,9.57901975986284e+001
1.07398941234124e+003,-2.45886806165339e+001,9.58107902043472e+001
1.07646521362983e+003,-2.45683052708639e+001,9.58314120390288e+001
1.07894672222983e+003,-2.45479280696148e+001,9.58520632010128e+001
1.08143395129794e+003,-2.45275490050814e+001,9.58727437887217e+001
1.08392691402120e+003,-2.45071680695222e+001,9.58934539006611e+001
1.08642562361706e+003,-2.44867852551584e+001,9.59141936354202e+001
1.08893009333343e+003,-2.44664005541741e+001,9.59349630916715e+001
1.09144033644875e+003,-2.44460139587163e+001,9.59557623681707e+001
1.09395636627209e+003,-2.44256254608945e+001,9.59765915637569e+001
1.09647819614318e+003,-2.44052350527807e+001,9.59974507773528e+001
1.09900583943252e+003,-2.43848427264092e+001,9.60183401079641e+001
1.10153930954141e+003,-2.43644484737763e+001,9.60392596546804e+001
1.10407861990207e+003,-2.43440522868407e+001,9.60602095166744e+001
1.10662378397766e+003,-2.43236541575226e+001,9.60811897932024e+001
1.10917481526240e+003,-2.43032540777043e+001,9.61022005836042e+001
1.11173172728159e+003,-2.42828520392293e+001,9.61232419873031e+001
1.11429453359173e+003,-2.42624480339029e+001,9.61443141038056e+001
1.11686324778056e+003,-2.42420420534914e+001,9.61654170327021e+001
1.11943788346715e+003,-2.42216340897225e+001,9.61865508736660e+001
1.12201845430196e+003,-2.42012241342847e+001,9.62077157264545e+001
1.12460497396692e+003,-2.41808121788275e+001,9.62289116909082e+001
1.12719745617551e+003,-2.41603982149611e+001,9.62501388669511e+001
1.12979591467279e+003,-2.41399822342560e+001,9.62713973545906e+001
1.13240036323555e+003,-2.41195642282435e+001,9.62926872539174e+001
1.13501081567231e+003,-2.40991441884149e+001,9.63140086651060e+001
1.13762728582343e+003,-2.40787221062215e+001,9.63353616884138e+001
1.14024978756117e+003,-2.40582979730749e+001,9.63567464241819e+001
1.14287833478977e+003,-2.40378717803461e+001,9.63781629728343e+001
1.14551294144553e+003,-2.40174435193660e+001,9.63996114348789e+001
1.14815362149688e+003,-2.39970131814249e+001,9.64210919109061e+001
1.15080038894443e+003,-2.39765807577725e+001,9.64426045015902e+001
1.15345325782109e+003,-2.39561462396174e+001,9.64641493076882e+001
1.15611224219210e+003,-2.39357096181276e+001,9.64857264300404e+001
1.15877735615512e+003,-2.39152708844298e+001,9.65073359695701e+001
1.16144861384034e+003,-2.38948300296092e+001,9.65289780272838e+001
1.16412602941049e+003,-2.38743870447099e+001,9.65506527042708e+001
1.16680961706096e+003,-2.38539419207341e+001,9.65723601017032e+001
1.16949939101987e+003,-2.38334946486424e+001,9.65941003208364e+001
1.17219536554813e+003,-2.38130452193534e+001,9.66158734630081e+001
1.17489755493953e+003,-2.37925936237436e+001,9.66376796296389e+001
1.17760597352080e+003,-2.37721398526473e+001,9.66595189222321e+001
1.18032063565173e+003,-2.37516838968563e+001,9.66813914423737e+001
1.18304155572516e+003,-2.37312257471199e+001,9.67032972917318e+001
1.18576874816716e+003,-2.37107653941446e+001,9.67252365720574e+001
1.18850222743701e+003,-2.36903028285941e+001,9.67472093851835e+001
1.19124200802737e+003,-2.36698380410888e+001,9.67692158330254e+001
1.19398810446427e+003,-2.36493710222061e+001,9.67912560175808e+001
1.19674053130724e+003,-2.36289017624799e+001,9.68133300409292e+001
1.19949930314937e+003,-2.36084302524006e+001,9.68354380052321e+001
1.20226443461741e+003,-2.35879564824148e+001,9.68575800127331e+001
1.20503594037179e+003,-2.35674804429252e+001,9.68797561657572e+001
1.20781383510678e+003,-2.35470021242905e+001,9.69019665667114e+001
1.21059813355048e+003,-2.35265215168251e+001,9.69242113180841e+001
1.21338885046497e+003,-2.35060386107990e+001,9.69464905224451e+001
1.21618600064636e+003,-2.34855533964377e+001,9.69688042824457e+001
1.21898959892486e+003,-2.34650658639218e+001,9.69911527008181e+001
1.22179966016487e+003,-2.34445760033873e+001,9.70135358803757e+001
1.22461619926504e+003,-2.34240838049246e+001,9.70359539240131e+001
1.22743923115840e+003,-2.34035892585794e+001,9.70584069347052e+001
1.23026877081238e+003,-2.33830923543515e+001,9.70808950155080e+001
1.23310483322890e+003,-2.33625930821955e+001,9.71034182695579e+001
1.23594743344450e+003,-2.33420914320199e+001,9.71259768000715e+001
1.23879658653036e+003,-2.33215873936874e+001,9.71485707103460e+001
1.24165230759241e+003,-2.33010809570145e+001,9.71712001037584e+001
1.24451461177138e+003,-2.32805721117716e+001,9.71938650837657e+001
1.24738351424294e+003,-2.32600608476822e+001,9.72165657539047e+001
1.25025903021771e+003,-2.32395471544237e+001,9.72393022177918e+001
1.25314117494141e+003,-2.32190310216261e+001,9.72620745791229e+001
1.25602996369487e+003,-2.31985124388727e+001,9.72848829416730e+001
1.25892541179416e+003,-2.31779913956996e+001,9.73077274092965e+001
1.26182753459066e+003,-2.31574678815955e+001,9.73306080859264e+001
1.26473634747115e+003,-2.31369418860015e+001,9.73535250755747e+001
1.26765186585784e+003,-2.31164133983109e+001,9.73764784823316e+001
1.27057410520854e+003,-2.30958824078693e+001,9.73994684103662e+001
1.27350308101666e+003,-2.30753489039739e+001,9.74224949639251e+001
1.27643880881134e+003,-2.30548128758739e+001,9.74455582473334e+001
1.27938130415752e+003,-2.30342743127698e+001,9.74686583649938e+001
1.28233058265601e+003,-2.30137332038137e+001,9.74917954213863e+001
1.28528665994361e+003,-2.29931895381087e+001,9.75149695210688e+001
1.28824955169313e+003,-2.29726433047088e+001,9.75381807686757e+001
1.29121927361353e+003,-2.29520944926190e+001,9.75614292689187e+001
1.29419584144998e+003,-2.29315430907947e+001,9.75847151265861e+001
1.29717927098395e+003,-2.29109890881419e+001,9.76080384465426e+001
1.30016957803328e+003,-2.28904324735167e+001,9.76313993337291e+001
1.30316677845229e+003,-2.28698732357252e+001,9.76547978931627e+001
1.30617088813183e+003,-2.28493113635236e+001,9.76782342299359e+001
1.30918192299940e+003,-2.28287468456176e+001,9.77017084492169e+001
1.31219989901920e+003,-2.28081796706622e+001,9.77252206562492e+001
1.31522483219223e+003,-2.27876098272619e+001,9.77487709563511e+001
