f,Channel 1 Magnitude (dB),mag,pha
806.38400000000092,-0.023165398775005001,-46.563004027569036,-3.0292354990321471
819.1142538884643,-0.07758627481878283,-46.590050589477279,-2.2496197383161984
832.04547823773214,-0.082040159482660968,-46.631998396652321,-2.934690371067262
845.18084573598878,-0.081869654498401417,-46.626203854447212,-2.8831178051768021
858.52357915813661,-0.072664277395002613,-46.609004427615375,-2.8106162418032028
872.07695215650392,-0.051236516827102278,-46.537329051135004,-3.3947492102274737
885.84429006403957,-0.038406590361409622,-46.569763803044061,-3.4306496803903812
899.82897071018431,-0.086226159784399625,-46.658633177615002,-3.2423940059893752
914.03442524962861,-0.10739882217060599,-46.616457658905794,-3.5344910305259383
928.46413900414677,-0.078900756400224203,-46.62228439746815,-3.3744025470373629
943.12165231772576,-0.079018701521208989,-46.681397395938255,-3.1794303687910599
958.01056142518769,-0.050586625489272327,-46.655290841627021,-3.8093439347684281
973.13451933453609,-0.10335150063119887,-46.643829967204404,-3.1764251236477605
988.49723672321988,-0.081870786434166704,-46.713101166406538,-3.2431690224527259
1004.1024828485544,-0.11253628854041296,-46.739332150164586,-3.4706218110859197
1019.9540864725084,-0.049717554850644691,-46.71289224599807,-3.6744132501458653
1036.0559368010995,-0.056705190116456208,-46.724820359548914,-3.7890026443463825
1052.4119844386119,-0.09368789421478986,-46.710374000903165,-3.3257069687685998
1069.0262423568813,-0.061079213826408858,-46.713836047878715,-3.74395546137427
1085.9027868798792,-0.07242900220708029,-46.748257427120123,-4.2650565736242356
1103.0457586838468,-0.055773560995601407,-46.730044618828842,-3.96133102422543
1120.4593638132121,-0.11675467627314076,-46.84795358191441,-3.8902010355130585
1138.1478747125468,-0.10646892512389444,-46.871009560455612,-3.9763670327475724
1156.1156312748121,-0.093855943117147622,-46.80478732427499,-4.1054856152130839
1174.3670419061605,-0.080711887629525553,-46.773277802630432,-4.8992598070183249
1192.90658460754,-0.12398265464523313,-46.828094796314915,-4.3707186144353614
1211.7388080733758,-0.12904790271220046,-46.855521629460874,-4.5522103515660319
1230.8683328075931,-0.12927203868755627,-46.857730173374293,-4.3834412558932172
1250.2998522572734,-0.13023911058901652,-46.81002146442956,-4.4851678243012856
1270.0381339641815,-0.13346042105850103,-46.861100005563145,-4.743606698904216
1290.0880207344971,-0.11094892081631448,-46.962660241474588,-4.7114555053401617
1310.4544318269982,-0.11404756377101735,-46.982936347632382,-4.8530990687279854
1331.1423641600054,-0.14896170171586326,-46.969718493184651,-4.9712961718182385
1352.1568935373828,-0.13097949876603726,-46.871557225566505,-4.4986947696468178
1373.5031758938865,-0.14984185496437941,-46.972501592859004,-4.4336852730781118
1395.1864485601841,-0.17237318893664283,-47.078137648802894,-5.2705636474916844
1417.212031547836,-0.1823594567850263,-46.97561847919691,-5.2465296244737516
1439.5853288545657,-0.12103432093671151,-47.051990781394302,-5.0201894356526395
1462.3118297901317,-0.1214756119535865,-47.120145199941454,-5.3571061207868524
1485.3971103231431,-0.14741336110508169,-47.071019574802762,-4.7115077141201311
1508.8468344491218,-0.17844582738304307,-47.174893367850345,-5.26491603876471
1532.6667555801746,-0.19219430555294115,-47.100330983362298,-5.2797256416980076
1556.8627179565894,-0.1615456073042448,-47.19114363603002,-4.9166202149162075
1581.4406580807367,-0.16917719699027137,-47.161957560351809,-5.5766284046440546
1606.4066061735887,-0.21565209129495005,-47.159597305344477,-5.7639703553265633
1631.7666876542428,-0.20773475987219961,-47.290832955446724,-5.3921174028381529
1657.5271246427933,-0.18096129386452769,-47.281587435630527,-5.4100825904533565
1683.6942374869436,-0.2305340377470215,-47.351092272972039,-5.7979935262264064
1710.2744463127053,-0.18891322361084006,-47.411729477220064,-5.6028872758745507
1737.2742725995756,-0.1760353846494189,-47.352356627539329,-5.9935240555392966
1764.700340780601,-0.20336655174984725,-47.354242597270797,-5.3255072750977552
1792.5593798676796,-0.20777019793116938,-47.329434515064776,-5.9830821011645625
1820.8582251025348,-0.242631963476102,-47.396263485334472,-6.5899143528610722
1849.6038196337406,-0.24615829546867246,-47.440455245397175,-6.174026824923132
1878.8032162202417,-0.23245892975858762,-47.535725354300347,-6.7123614432563041
1908.4635789617457,-0.22843257880536533,-47.600940480255119,-6.3105892403009136
1938.5921850564475,-0.26866612980283971,-47.570147083985511,-6.5914450075940678
1969.196426586487,-0.25252393816493823,-47.667408911765577,-7.2427963556822448
2000.2838123316167,-0.25787909611154425,-47.604271079591946,-7.0887544600477135
2031.8619696114795,-0.27300419794088648,-47.737051837250704,-6.6108666468099386
2063.9386461569825,-0.27996155834396352,-47.643143723409366,-6.9256498935303483
2096.5217120112025,-0.27817950840095068,-47.728867211819058,-7.4586133984149683
2129.6191614603217,-0.28322953889492464,-47.833732671517097,-6.9316890048709183
2163.2391149950226,-0.32459669288591775,-47.846903424352391,-6.947861046814495
2197.3898213028647,-0.2829373529771948,-47.861528746462724,-8.1336167441097302
2232.0796592920988,-0.32688893506645444,-48.013580489134846,-8.1160557683271861
2267.3171401474524,-0.32308692106080145,-48.080929723716963,-7.846573532087973
2303.1109094183475,-0.32357668626864988,-47.980753808891407,-7.2169209442530047
2339.4697491401016,-0.32969715131884425,-48.102986871290966,-8.3688552753338996
2376.4025799885972,-0.3394799720722888,-48.094782226238777,-8.1609250504648472
2413.9184634689914,-0.3282816151568716,-48.231958566690132,-8.362173630380866
2452.0266041389568,-0.35035459761197452,-48.328953155955702,-8.2505306640411824
2490.7363518670331,-0.33122858703559566,-48.380807297789836,-8.5200934734552334
2530.0572041266173,-0.37562896797932177,-48.483546595416513,-8.3007814313280441
2569.9988083261887,-0.36042365226530371,-48.506474979066311,-8.6255330391813914
2610.5709641763056,-0.37039656802118281,-48.623458616755642,-8.2871490280009557
2651.7836260939739,-0.34853094894185155,-48.609332953719253,-9.1340498306882498
2693.646905644965,-0.37037558749622285,-48.681511827088642,-8.9649227805724152
2736.171074024709,-0.3652348002086786,-48.808948905142238,-9.3455072220941169
2779.3665645783517,-0.39129052783853929,-48.797864742366166,-9.4480619343015491
2823.2439753605422,-0.37362787688166821,-49.08096968752676,-9.2578359980644613
2867.8140717357387,-0.4052582973464981,-49.108827775857733,-9.9234660852631009
2913.0877890194415,-0.39122624567352626,-49.1849595890098,-9.698047338130138
2959.0762351612357,-0.4066758956032942,-49.278961179729841,-9.7379670393161959
3005.7906934700791,-0.39745676193005902,-49.32811293752237,-10.757492593774629
3053.2426253827366,-0.42616504680725376,-49.33046611525279,-10.053671445818978
