#Digilent WaveForms Impedance Analyzer
#Device Name: Discovery2
#Serial Number: DEMO
#Date Time: 2018-11-20 00:43:38.133
#Trace: Trace
#Start: 7271.57 Hz
#Stop: 100000 Hz
#Steps: 100
#Order: W1-C1-DUT-C2-R-GND
#Resistor: 10000 O
#Average: 1
#ProbeCapacitance: 1.04e+06 O
#ProbeResistance: 4.3e-11 F
#Compensation:
#Wavegen: Wavegen1
#Amplification: 1 X
#Settle: 10 ms
#MinPeriods: 16
#Channel: Channel 1
#Range: 1 V
#Offset: 0 V
#Attenuation: 1 X
#Channel: Channel 2
#Range: 1 V
#Offset: 0 V
#Attenuation: 1 X

Frequency (Hz),Trace |Z| (O)
7271.5698000000002,136579.82711267564
8208.2206101010106,133026.50304597258
9144.8714202020201,129567.75865771483
10081.522230303031,126201.46018444169
11018.173040404041,122921.8786914464
11954.82385050505,119729.14572150902
12891.474660606062,116619.69248609818
13828.125470707069,113589.94265517181
14764.776280808081,110643.11968447259
15701.427090909092,107774.66877607784
16638.077901010103,104981.16910777451
17574.728711111111,102259.7290765099
18511.379521212122,99609.572463092831
19448.030331313134,97032.878025841477
20384.681141414141,94521.270264328879
21321.331951515152,92076.189385499223
22257.982761616164,89696.966395338692
23194.633571717171,87378.717987862823
24131.284381818186,85120.808407968885
25067.935191919194,82922.833724777433
26004.586002020205,80788.058528639551
26941.236812121213,78707.747501074206
27877.887622222224,76680.836684404712
28814.538432323236,74707.171865199256
29751.189242424243,72786.219745819748
30687.840052525251,70917.540326097034
31624.490862626266,69098.079626691877
32561.141672727274,67327.348686855199
33497.792482828278,65604.342837354023
34434.443292929296,63925.566966364699
35371.0941030303,62293.790300096334
36307.744913131311,60703.23932138591
37244.395723232323,59157.5842067798
38181.046533333334,57652.613687346173
39117.697343434345,56187.409145706879
40054.348153535349,54761.876837784781
40990.998963636368,53375.016046742247
41927.649773737372,52025.001203169981
42864.300583838383,50711.331414673674
43800.951393939395,49432.232683001217
44737.602204040406,48190.185792333716
45674.25301414141,46979.851249311621
46610.903824242421,45804.202814502722
47547.554634343433,44518.629000481706
48484.205444444444,43234.886401684387
49420.856254545455,41972.808689992518
50357.507064646466,40748.696100285953
51294.15787474747,39546.358193493492
52230.808684848482,38380.240552466821
53167.459494949493,37233.119258922699
54104.110305050497,36120.118149567083
55040.761115151516,35026.816739762478
55977.411925252527,33966.171980549036
56914.062735353531,32922.06573552818
57850.713545454542,31903.293128020083
58787.364355555554,30917.188055463943
59724.015165656558,29945.118180207242
60660.665975757576,29003.499139030842
61597.316785858588,28077.025837843186
62533.967595959599,27180.137427328773
63470.618406060603,26296.25723665511
64407.269216161614,25442.137687424241
65343.920026262625,24600.491796114562
66280.570836363637,23777.808080914325
67217.221646464648,22982.897170950695
68153.872456565659,22199.165168320076
69090.523266666671,21441.036910694918
70027.174076767682,20695.10158447002
70963.824886868693,19974.268640653245
71900.47569696969,19262.903180491037
72837.126507070701,18577.067109349315
73773.777317171713,17900.17490250132
74710.428127272738,17247.308851567574
75647.078937373735,16603.968633037835
76583.729747474747,15975.726969180194
77520.380557575758,15371.364098881248
78457.031367676769,14774.631296305264
79393.68217777778,14200.513526501873
80330.332987878792,13634.923291530686
81266.983797979789,13090.474049319198
82203.634608080814,12553.640357582786
83140.285418181826,12038.964120997302
84076.936228282822,11531.220200875405
85013.587038383834,11044.869457311068
85950.237848484845,10565.463254216556
86886.888658585856,10099.73355744969
87823.539468686868,9655.8984549875895
88760.190278787879,9218.1566175950102
89696.84108888889,8802.2600043517141
90633.491898989902,8393.0396141097499
91570.142709090913,8005.2896539315116
92506.79351919191,7624.228627058129
93443.444329292935,7265.76677046646
94380.095139393947,6913.6409163319877
95316.745949494943,6576.9124954156205
96253.396759595969,6262.9252278972344
97190.047569696966,5957.3335844045478
98126.698379797977,5674.8323154975869
99063.349189898989,5401.8611480421259
100000,5153.3386709964234
