Freq.,Vvo/Vv1
1.00000000000000e+003,-7.16537910225010e+001,1.78658600269608e+002
1.00230523807790e+003,-7.16135844066875e+001,1.78655492282798e+002
1.00461579027840e+003,-7.15733768347043e+001,1.78652377021822e+002
1.00693166885180e+003,-7.15331683021152e+001,1.78649254469149e+002
1.00925288607668e+003,-7.14929588044628e+001,1.78646124607201e+002
1.01157945425990e+003,-7.14527483372692e+001,1.78642987418353e+002
1.01391138573668e+003,-7.14125368960358e+001,1.78639842884934e+002
1.01624869287070e+003,-7.13723244762427e+001,1.78636690989230e+002
1.01859138805412e+003,-7.13321110733490e+001,1.78633531713476e+002
1.02093948370768e+003,-7.12918966827927e+001,1.78630365039863e+002
1.02329299228075e+003,-7.12516812999905e+001,1.78627190950537e+002
1.02565192625141e+003,-7.12114649203375e+001,1.78624009427593e+002
1.02801629812647e+003,-7.11712475392078e+001,1.78620820453083e+002
1.03038612044162e+003,-7.11310291519534e+001,1.78617624009010e+002
1.03276140576140e+003,-7.10908097539049e+001,1.78614420077329e+002
1.03514216667934e+003,-7.10505893403710e+001,1.78611208639950e+002
1.03752841581801e+003,-7.10103679066385e+001,1.78607989678734e+002
1.03992016582906e+003,-7.09701454479724e+001,1.78604763175495e+002
1.04231742939330e+003,-7.09299219596154e+001,1.78601529111997e+002
1.04472021922080e+003,-7.08896974367880e+001,1.78598287469959e+002
1.04712854805090e+003,-7.08494718746884e+001,1.78595038231051e+002
1.04954242865232e+003,-7.08092452684926e+001,1.78591781376893e+002
1.05196187382322e+003,-7.07690176133537e+001,1.78588516889059e+002
1.05438689639126e+003,-7.07287889044025e+001,1.78585244749073e+002
1.05681750921366e+003,-7.06885591367469e+001,1.78581964938410e+002
1.05925372517729e+003,-7.06483283054721e+001,1.78578677438497e+002
1.06169555719872e+003,-7.06080964056402e+001,1.78575382230712e+002
1.06414301822431e+003,-7.05678634322903e+001,1.78572079296383e+002
1.06659612123026e+003,-7.05276293804383e+001,1.78568768616788e+002
1.06905487922266e+003,-7.04873942450770e+001,1.78565450173159e+002
1.07151930523761e+003,-7.04471580211755e+001,1.78562123946673e+002
1.07398941234124e+003,-7.04069207036798e+001,1.78558789918461e+002
1.07646521362983e+003,-7.03666822875119e+001,1.78555448069604e+002
1.07894672222983e+003,-7.03264427675703e+001,1.78552098381130e+002
1.08143395129794e+003,-7.02862021387297e+001,1.78548740834019e+002
1.08392691402120e+003,-7.02459603958408e+001,1.78545375409200e+002
1.08642562361706e+003,-7.02057175337302e+001,1.78542002087551e+002
1.08893009333343e+003,-7.01654735472004e+001,1.78538620849900e+002
1.09144033644875e+003,-7.01252284310296e+001,1.78535231677022e+002
1.09395636627209e+003,-7.00849821799715e+001,1.78531834549644e+002
1.09647819614318e+003,-7.00447347887555e+001,1.78528429448439e+002
1.09900583943252e+003,-7.00044862520861e+001,1.78525016354029e+002
1.10153930954141e+003,-6.99642365646434e+001,1.78521595246986e+002
1.10407861990207e+003,-6.99239857210822e+001,1.78518166107828e+002
1.10662378397766e+003,-6.98837337160328e+001,1.78514728917022e+002
1.10917481526240e+003,-6.98434805441000e+001,1.78511283654983e+002
1.11173172728159e+003,-6.98032261998637e+001,1.78507830302073e+002
1.11429453359173e+003,-6.97629706778781e+001,1.78504368838603e+002
1.11686324778056e+003,-6.97227139726724e+001,1.78500899244829e+002
1.11943788346715e+003,-6.96824560787497e+001,1.78497421500956e+002
1.12201845430196e+003,-6.96421969905879e+001,1.78493935587135e+002
1.12460497396692e+003,-6.96019367026388e+001,1.78490441483465e+002
1.12719745617551e+003,-6.95616752093282e+001,1.78486939169990e+002
1.12979591467279e+003,-6.95214125050562e+001,1.78483428626702e+002
1.13240036323555e+003,-6.94811485841962e+001,1.78479909833538e+002
1.13501081567231e+003,-6.94408834410957e+001,1.78476382770381e+002
1.13762728582343e+003,-6.94006170700756e+001,1.78472847417061e+002
1.14024978756117e+003,-6.93603494654302e+001,1.78469303753354e+002
1.14287833478977e+003,-6.93200806214273e+001,1.78465751758980e+002
1.14551294144553e+003,-6.92798105323075e+001,1.78462191413605e+002
1.14815362149688e+003,-6.92395391922850e+001,1.78458622696840e+002
1.15080038894443e+003,-6.91992665955465e+001,1.78455045588243e+002
1.15345325782109e+003,-6.91589927362516e+001,1.78451460067314e+002
1.15611224219210e+003,-6.91187176085327e+001,1.78447866113499e+002
1.15877735615512e+003,-6.90784412064946e+001,1.78444263706188e+002
1.16144861384034e+003,-6.90381635242146e+001,1.78440652824716e+002
1.16412602941049e+003,-6.89978845557423e+001,1.78437033448362e+002
1.16680961706096e+003,-6.89576042950994e+001,1.78433405556348e+002
1.16949939101987e+003,-6.89173227362796e+001,1.78429769127840e+002
1.17219536554813e+003,-6.88770398732485e+001,1.78426124141948e+002
1.17489755493953e+003,-6.88367556999435e+001,1.78422470577725e+002
1.17760597352080e+003,-6.87964702102736e+001,1.78418808414168e+002
1.18032063565173e+003,-6.87561833981192e+001,1.78415137630215e+002
1.18304155572516e+003,-6.87158952573323e+001,1.78411458204748e+002
1.18576874816716e+003,-6.86756057817357e+001,1.78407770116593e+002
1.18850222743701e+003,-6.86353149651237e+001,1.78404073344515e+002
1.19124200802737e+003,-6.85950228012613e+001,1.78400367867224e+002
1.19398810446427e+003,-6.85547292838843e+001,1.78396653663371e+002
1.19674053130724e+003,-6.85144344066993e+001,1.78392930711548e+002
1.19949930314937e+003,-6.84741381633833e+001,1.78389198990290e+002
1.20226443461741e+003,-6.84338405475836e+001,1.78385458478073e+002
1.20503594037179e+003,-6.83935415529181e+001,1.78381709153313e+002
1.20781383510678e+003,-6.83532411729744e+001,1.78377950994368e+002
1.21059813355048e+003,-6.83129394013103e+001,1.78374183979537e+002
1.21338885046497e+003,-6.82726362314533e+001,1.78370408087059e+002
1.21618600064636e+003,-6.82323316569007e+001,1.78366623295114e+002
1.21898959892486e+003,-6.81920256711191e+001,1.78362829581822e+002
