Freq.,Vv1/IR1
1.00000000000000e+003,9.90200501004532e+001,1.79807665516204e+002
1.00230523807790e+003,9.90200595788150e+001,1.79807218244966e+002
1.00461579027840e+003,9.90200691011474e+001,1.79806769915522e+002
1.00693166885180e+003,9.90200786676553e+001,1.79806320525244e+002
1.00925288607668e+003,9.90200882785449e+001,1.79805870071494e+002
1.01157945425990e+003,9.90200979340229e+001,1.79805418551629e+002
1.01391138573668e+003,9.90201076342973e+001,1.79804965962998e+002
1.01624869287070e+003,9.90201173795771e+001,1.79804512302942e+002
1.01859138805412e+003,9.90201271700720e+001,1.79804057568793e+002
1.02093948370768e+003,9.90201370059931e+001,1.79803601757879e+002
1.02329299228075e+003,9.90201468875520e+001,1.79803144867517e+002
1.02565192625141e+003,9.90201568149617e+001,1.79802686895018e+002
1.02801629812647e+003,9.90201667884360e+001,1.79802227837686e+002
1.03038612044162e+003,9.90201768081899e+001,1.79801767692817e+002
1.03276140576140e+003,9.90201868744391e+001,1.79801306457697e+002
1.03514216667934e+003,9.90201969874006e+001,1.79800844129609e+002
1.03752841581801e+003,9.90202071472923e+001,1.79800380705823e+002
1.03992016582906e+003,9.90202173543332e+001,1.79799916183605e+002
1.04231742939330e+003,9.90202276087432e+001,1.79799450560212e+002
1.04472021922080e+003,9.90202379107434e+001,1.79798983832894e+002
1.04712854805090e+003,9.90202482605558e+001,1.79798515998891e+002
1.04954242865232e+003,9.90202586584035e+001,1.79798047055437e+002
1.05196187382322e+003,9.90202691045107e+001,1.79797576999757e+002
1.05438689639126e+003,9.90202795991026e+001,1.79797105829070e+002
1.05681750921366e+003,9.90202901424055e+001,1.79796633540585e+002
1.05925372517729e+003,9.90203007346467e+001,1.79796160131503e+002
1.06169555719872e+003,9.90203113760546e+001,1.79795685599019e+002
1.06414301822431e+003,9.90203220668589e+001,1.79795209940319e+002
1.06659612123026e+003,9.90203328072899e+001,1.79794733152579e+002
1.06905487922266e+003,9.90203435975794e+001,1.79794255232970e+002
1.07151930523761e+003,9.90203544379602e+001,1.79793776178652e+002
1.07398941234124e+003,9.90203653286662e+001,1.79793295986780e+002
1.07646521362983e+003,9.90203762699322e+001,1.79792814654498e+002
1.07894672222983e+003,9.90203872619944e+001,1.79792332178943e+002
1.08143395129794e+003,9.90203983050899e+001,1.79791848557243e+002
1.08392691402120e+003,9.90204093994572e+001,1.79791363786519e+002
1.08642562361706e+003,9.90204205453355e+001,1.79790877863883e+002
1.08893009333343e+003,9.90204317429655e+001,1.79790390786438e+002
1.09144033644875e+003,9.90204429925888e+001,1.79789902551281e+002
1.09395636627209e+003,9.90204542944484e+001,1.79789413155497e+002
1.09647819614318e+003,9.90204656487882e+001,1.79788922596164e+002
1.09900583943252e+003,9.90204770558534e+001,1.79788430870354e+002
1.10153930954141e+003,9.90204885158902e+001,1.79787937975127e+002
1.10407861990207e+003,9.90205000291462e+001,1.79787443907537e+002
1.10662378397766e+003,9.90205115958699e+001,1.79786948664627e+002
1.10917481526240e+003,9.90205232163112e+001,1.79786452243434e+002
