Freq.,Vvo
1.00000000000000e+003,-2.40126616431381e+001,8.82576128364244e+001
1.00230523807790e+003,-2.39926797609896e+001,8.82615456292441e+001
1.00461579027840e+003,-2.39726977956733e+001,8.82654692258187e+001
1.00693166885180e+003,-2.39527157475513e+001,8.82693836434115e+001
1.00925288607668e+003,-2.39327336170503e+001,8.82732889123814e+001
1.01157945425990e+003,-2.39127514045286e+001,8.82771850482464e+001
1.01391138573668e+003,-2.38927691103416e+001,8.82810720681630e+001
1.01624869287070e+003,-2.38727867348918e+001,8.82849499982251e+001
1.01859138805412e+003,-2.38528042785327e+001,8.82888188546960e+001
1.02093948370768e+003,-2.38328217416407e+001,8.82926786586951e+001
1.02329299228075e+003,-2.38128391245950e+001,8.82965294337202e+001
1.02565192625141e+003,-2.37928564277516e+001,8.83003711959432e+001
1.02801629812647e+003,-2.37728736514868e+001,8.83042039695794e+001
1.03038612044162e+003,-2.37528907961673e+001,8.83080277739506e+001
1.03276140576140e+003,-2.37329078621274e+001,8.83118426235460e+001
1.03514216667934e+003,-2.37129248497642e+001,8.83156485464443e+001
1.03752841581801e+003,-2.36929417594056e+001,8.83194455554714e+001
1.03992016582906e+003,-2.36729585914407e+001,8.83232336777912e+001
1.04231742939330e+003,-2.36529753462006e+001,8.83270129277714e+001
1.04472021922080e+003,-2.36329920240593e+001,8.83307833292884e+001
1.04712854805090e+003,-2.36130086253501e+001,8.83345448990387e+001
1.04954242865232e+003,-2.35930251504370e+001,8.83382976576452e+001
1.05196187382322e+003,-2.35730415996628e+001,8.83420416256888e+001
1.05438689639126e+003,-2.35530579733671e+001,8.83457768197805e+001
1.05681750921366e+003,-2.35330742719252e+001,8.83495032651278e+001
1.05925372517729e+003,-2.35130904956673e+001,8.83532209798268e+001
1.06169555719872e+003,-2.34931066449062e+001,8.83569299764966e+001
1.06414301822431e+003,-2.34731227200498e+001,8.83606302879821e+001
1.06659612123026e+003,-2.34531387213746e+001,8.83643219206149e+001
1.06905487922266e+003,-2.34331546492448e+001,8.83680049001436e+001
1.07151930523761e+003,-2.34131705039990e+001,8.83716792452759e+001
1.07398941234124e+003,-2.33931862859681e+001,8.83753449746896e+001
1.07646521362983e+003,-2.33732019955031e+001,8.83790021116394e+001
1.07894672222983e+003,-2.33532176329031e+001,8.83826506678122e+001
1.08143395129794e+003,-2.33332331985376e+001,8.83862906709825e+001
1.08392691402120e+003,-2.33132486927047e+001,8.83899221335541e+001
1.08642562361706e+003,-2.32932641157380e+001,8.83935450763274e+001
1.08893009333343e+003,-2.32732794679662e+001,8.83971595177719e+001
1.09144033644875e+003,-2.32532947497256e+001,8.84007654808732e+001
1.09395636627209e+003,-2.32333099613310e+001,8.84043629817405e+001
1.09647819614318e+003,-2.32133251030964e+001,8.84079520379820e+001
1.09900583943252e+003,-2.31933401753609e+001,8.84115326724479e+001
1.10153930954141e+003,-2.31733551784259e+001,8.84151049004106e+001
1.10407861990207e+003,-2.31533701126181e+001,8.84186687423809e+001
1.10662378397766e+003,-2.31333849782525e+001,8.84222242173247e+001
1.10917481526240e+003,-2.31133997756417e+001,8.84257713434241e+001
1.11173172728159e+003,-2.30934145050918e+001,8.84293101373433e+001
1.11429453359173e+003,-2.30734291669287e+001,8.84328406216663e+001
1.11686324778056e+003,-2.30534437614465e+001,8.84363628107612e+001
1.11943788346715e+003,-2.30334582889701e+001,8.84398767271250e+001
1.12201845430196e+003,-2.30134727498003e+001,8.84433823880247e+001
1.12460497396692e+003,-2.29934871442518e+001,8.84468798129087e+001
1.12719745617551e+003,-2.29735014726098e+001,8.84503690167814e+001
1.12979591467279e+003,-2.29535157351987e+001,8.84538500226933e+001
1.13240036323555e+003,-2.29335299322905e+001,8.84573228419347e+001
1.13501081567231e+003,-2.29135440642183e+001,8.84607875003958e+001
1.13762728582343e+003,-2.28935581312662e+001,8.84642440129606e+001
1.14024978756117e+003,-2.28735721337310e+001,8.84676923974098e+001
1.14287833478977e+003,-2.28535860719079e+001,8.84711326722178e+001
1.14551294144553e+003,-2.28335999461023e+001,8.84745648572648e+001
1.14815362149688e+003,-2.28136137566013e+001,8.84779889695009e+001
1.15080038894443e+003,-2.27936275036957e+001,8.84814050265710e+001
1.15345325782109e+003,-2.27736411876707e+001,8.84848130453729e+001
1.15611224219210e+003,-2.27536548088314e+001,8.84882130470718e+001
1.15877735615512e+003,-2.27336683674540e+001,8.84916050470614e+001
1.16144861384034e+003,-2.27136818638318e+001,8.84949890642847e+001
1.16412602941049e+003,-2.26936952982462e+001,8.84983651155103e+001
1.16680961706096e+003,-2.26737086709818e+001,8.85017332196105e+001
1.16949939101987e+003,-2.26537219823218e+001,8.85050933939991e+001
1.17219536554813e+003,-2.26337352325570e+001,8.85084456574703e+001
1.17489755493953e+003,-2.26137484219494e+001,8.85117900252586e+001
1.17760597352080e+003,-2.25937615507810e+001,8.85151265139895e+001
1.18032063565173e+003,-2.25737746193492e+001,8.85184551465720e+001
1.18304155572516e+003,-2.25537876279302e+001,8.85217759395416e+001
1.18576874816716e+003,-2.25338005767735e+001,8.85250889059258e+001
1.18850222743701e+003,-2.25138134661760e+001,8.85283940678034e+001
1.19124200802737e+003,-2.24938262963932e+001,8.85316914388496e+001
1.19398810446427e+003,-2.24738390677019e+001,8.85349810368965e+001
1.19674053130724e+003,-2.24538517803787e+001,8.85382628811223e+001
1.19949930314937e+003,-2.24338644346955e+001,8.85415369899674e+001
1.20226443461741e+003,-2.24138770309161e+001,8.85448033790776e+001
1.20503594037179e+003,-2.23938895692964e+001,8.85480620633962e+001
1.20781383510678e+003,-2.23739020501209e+001,8.85513130647020e+001
1.21059813355048e+003,-2.23539144736473e+001,8.85545563985521e+001
1.21338885046497e+003,-2.23339268401161e+001,8.85577920770798e+001
1.21618600064636e+003,-2.23139391498234e+001,8.85610201253504e+001
1.21898959892486e+003,-2.22939514030125e+001,8.85642405554354e+001
1.22179966016487e+003,-2.22739635999365e+001,8.85674533841597e+001
1.22461619926504e+003,-2.22539757408727e+001,8.85706586316926e+001
1.22743923115840e+003,-2.22339878260654e+001,8.85738563127551e+001
1.23026877081238e+003,-2.22139998557707e+001,8.85770464440729e+001
1.23310483322890e+003,-2.21940118302476e+001,8.85802290443546e+001
1.23594743344450e+003,-2.21740237497384e+001,8.85834041262379e+001
1.23879658653036e+003,-2.21540356145117e+001,8.85865717110472e+001
1.24165230759241e+003,-2.21340474248080e+001,8.85897318133742e+001
1.24451461177138e+003,-2.21140591808840e+001,8.85928844504568e+001
1.24738351424294e+003,-2.20940708829798e+001,8.85960296375094e+001
1.25025903021771e+003,-2.20740825313530e+001,8.85991673936977e+001
1.25314117494141e+003,-2.20540941262412e+001,8.86022977328539e+001
1.25602996369487e+003,-2.20341056678958e+001,8.86054206734144e+001
1.25892541179416e+003,-2.20141171565592e+001,8.86085362317978e+001
