Freq.,Vn004/IR10
1.00000000000000e+003,-3.15001351992752e+001,-3.05324963047939e-012
1.00230523807790e+003,-3.15001352033200e+001,-3.05324848863937e-012
1.00461579027840e+003,-3.15001351952304e+001,-3.25680824924836e-012
1.00693166885180e+003,-3.15001352033200e+001,-2.84968526318531e-012
1.00925288607668e+003,-3.15001351992752e+001,-3.05324500925164e-012
1.01157945425990e+003,-3.15001351992752e+001,-3.05324383368089e-012
1.01391138573668e+003,-3.15001351992752e+001,-3.25680356469221e-012
1.01624869287070e+003,-3.15001352033200e+001,-3.25680237414084e-012
1.01859138805412e+003,-3.15001351992752e+001,-3.05324025741874e-012
1.02093948370768e+003,-3.15001351992752e+001,-3.25679996342246e-012
1.02329299228075e+003,-3.15001351992752e+001,-3.05323783136920e-012
1.02565192625141e+003,-3.15001351992752e+001,-3.05323660560487e-012
1.02801629812647e+003,-3.15001352033200e+001,-3.25679628758618e-012
1.03038612044162e+003,-3.15001351992752e+001,-3.05323412829765e-012
1.03276140576140e+003,-3.15001351992752e+001,-3.25679379143549e-012
1.03514216667934e+003,-3.15001352033200e+001,-3.25679253253318e-012
1.03752841581801e+003,-3.15001351992752e+001,-3.05323034697930e-012
1.03992016582906e+003,-3.15001351992752e+001,-3.05322906886520e-012
1.04231742939330e+003,-3.15001351992752e+001,-3.05322778180999e-012
1.04472021922080e+003,-3.15001351952304e+001,-2.84966556962195e-012
1.04712854805090e+003,-3.15001352033200e+001,-2.84966426714933e-012
1.04954242865232e+003,-3.15001351952304e+001,-3.25678477965141e-012
1.05196187382322e+003,-3.15001352033200e+001,-2.84966162943806e-012
1.05438689639126e+003,-3.15001351911856e+001,-3.25678212196779e-012
1.05681750921366e+003,-3.15001351992752e+001,-3.05321986816011e-012
1.05925372517729e+003,-3.15001352033200e+001,-3.46034034794489e-012
1.06169555719872e+003,-3.15001351992752e+001,-3.25677807064429e-012
1.06414301822431e+003,-3.15001352033200e+001,-3.05321578685305e-012
1.06659612123026e+003,-3.15001351992752e+001,-3.25677532023088e-012
1.06905487922266e+003,-3.15001351952304e+001,-3.46033484376066e-012
1.07151930523761e+003,-3.15001351992752e+001,-3.25677253118317e-012
1.07398941234124e+003,-3.15001351952304e+001,-3.46033203519148e-012
1.07646521362983e+003,-3.15001351992752e+001,-3.25676970295498e-012
1.07894672222983e+003,-3.15001351952304e+001,-3.25676827245880e-012
1.08143395129794e+003,-3.15001351952304e+001,-3.25676683347574e-012
1.08392691402120e+003,-3.15001351992752e+001,-3.46032630073708e-012
1.08642562361706e+003,-3.15001351992752e+001,-3.46032484153509e-012
1.08893009333343e+003,-3.15001351952304e+001,-3.86744519991925e-012
1.09144033644875e+003,-3.15001351992752e+001,-3.05320006280618e-012
1.09395636627209e+003,-3.15001351992752e+001,-3.46032040234189e-012
1.09647819614318e+003,-3.15001351992752e+001,-3.25675798703823e-012
1.09900583943252e+003,-3.15001351992752e+001,-3.25675647602881e-012
1.10153930954141e+003,-3.15001351992752e+001,-3.46031586923954e-012
